Cluster,moh_kvxp,aom_kvxp,moh_ap,aom_ap,e_moh_kvxp,e_aom_kvxp,e_moh_ap,e_aom_ap,feh_c,e_feh_c,num_member
M13,-1.27,0.23,-1.44,0.11,0.11,0.11,0.08,0.05,-1.49,0.14,3
M2,-1.31,0.19,-1.52,0.15,0.17,0.17,0.06,0.06,-1.38,0.12,5
M3,-1.38,0.18,-1.40,0.17,0.23,0.23,0.08,0.05,-1.36,0.08,26
M5,-1.26,0.21,-1.22,0.19,0.20,0.20,0.07,0.05,-1.19,0.07,24
M107,-0.83,0.19,-1.01,0.29,0.29,0.29,0.09,0.03,-1.01,0.14,5
M71,-0.63,0.11,-0.78,0.25,0.30,0.30,0.01,0.01,-0.53,0.05,3
NGC 2353,-0.33,0.04,-0.34,0.06,0.06,0.06,0.01,0.03,-0.33,0.02,3
ASCC 11,-0.34,0.04,-0.32,0.07,0.03,0.03,0.00,0.01,-0.33,0.01,2
NGC 2204,-0.40,0.06,-0.30,0.03,0.11,0.11,0.01,0.11,-0.30,0.01,3
NGC 1798,-0.28,0.04,-0.28,0.01,0.02,0.02,0.01,0.00,-0.29,0.02,2
Collinder 95,-0.29,0.04,-0.20,0.02,0.15,0.15,0.00,0.00,-0.22,0.00,2
NGC 2420,-0.16,0.06,-0.18,0.03,0.04,0.04,0.01,0.00,-0.18,0.01,4
NGC 1912,-0.02,-0.04,-0.13,-0.02,0.02,0.02,0.01,0.00,-0.17,0.01,2
NGC 1817,-0.15,0.00,-0.16,-0.00,0.02,0.02,0.00,0.02,-0.17,0.01,2
Berkeley 17,-0.13,0.04,-0.15,0.04,0.21,0.21,0.00,0.01,-0.16,0.01,3
ESO 211 03,-0.12,0.08,-0.15,0.04,0.00,0.00,0.00,0.03,-0.15,0.00,2
ASCC 21,-0.20,0.05,-0.14,0.04,0.02,0.02,0.01,0.07,-0.14,0.01,4
Collinder 69,-0.15,0.04,-0.13,0.03,0.08,0.08,0.01,0.02,-0.14,0.01,24
Ruprecht 18,-0.07,-0.01,-0.11,0.01,0.04,0.04,0.01,0.04,-0.12,0.00,2
NGC 2447,-0.10,0.02,-0.10,0.00,0.09,0.09,0.00,0.01,-0.11,0.01,3
Berkeley 53,0.02,0.01,-0.10,0.01,0.02,0.02,0.01,0.03,-0.11,0.01,2
ASCC 19,-0.11,0.05,-0.10,0.04,0.05,0.05,0.02,0.02,-0.11,0.02,7
NGC 1245,-0.08,0.02,-0.09,0.01,0.04,0.04,0.02,0.01,-0.09,0.01,2
ASCC 16,-0.08,0.01,-0.09,0.01,0.03,0.03,0.01,0.01,-0.08,0.01,4
Briceno 1,-0.08,0.02,-0.08,0.02,0.01,0.01,0.01,0.00,-0.08,0.01,3
NGC 752,0.02,0.05,-0.05,0.03,0.10,0.10,0.01,0.11,-0.06,0.01,3
NGC 6811,-0.07,0.03,-0.04,0.02,0.04,0.04,0.01,0.04,-0.05,0.01,10
NGC 7789,-0.02,0.00,-0.02,-0.00,0.05,0.05,0.01,0.01,-0.03,0.01,23
Melotte 22,-0.01,0.04,0.00,0.03,0.06,0.06,0.02,0.05,0.00,0.01,24
NGC 2682,0.02,0.02,0.01,0.00,0.03,0.03,0.02,0.01,0.00,0.01,22
Melotte 20,0.00,0.03,0.03,0.02,0.08,0.08,0.02,0.03,0.02,0.02,49
NGC 6819,0.08,0.01,0.05,0.00,0.06,0.06,0.02,0.01,0.04,0.02,16
NGC 188,0.04,0.04,0.07,0.03,0.04,0.04,0.02,0.02,0.07,0.01,14
ESO 518 03,0.09,0.02,0.06,0.01,0.02,0.02,0.03,0.00,0.07,0.03,2
Berkeley 85,0.13,-0.02,0.11,-0.05,0.04,0.04,0.01,0.01,0.09,0.00,4
Dolidze 41,0.13,-0.02,0.11,-0.05,0.04,0.04,0.01,0.01,0.09,0.00,4
Trumpler 20,0.09,-0.00,0.10,-0.02,0.06,0.06,0.02,0.02,0.10,0.01,8
SAI 116,0.20,-0.03,0.15,-0.03,0.02,0.02,0.01,0.02,0.15,0.01,2
VVV CL006,0.20,-0.03,0.15,-0.03,0.02,0.02,0.01,0.02,0.15,0.01,2
NGC 2632,0.13,0.01,0.15,0.02,0.03,0.03,0.02,0.02,0.15,0.02,5
Trumpler 26,0.29,-0.00,0.21,-0.01,0.11,0.11,0.01,0.05,0.19,0.00,2
BH 211,0.21,-0.03,0.21,-0.03,0.03,0.03,0.01,0.00,0.21,0.01,2
